,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent,Parent,Parent,Parent,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range,Characteristic
,ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,SC %,SC %,SC %,SC %,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE,CHARACTERISTIC SPLIT=|
,,,,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,
1,http://purl.org/pan-science/PaNET/PaNET00001,photon and neutron technique,,,"A technique in the domain of neutron, muon and accelerator-based light sources",,owl:Class,owl:Thing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,http://purl.org/pan-science/PaNET/PaNET00002,defined by experimental probe,,,A technique defined by its experimental probe type,,owl:Class,,,,,Probe,,,,,,,,,,,,
3,http://purl.org/pan-science/PaNET/PaNET00003,defined by process,,,A technique defined by a physical process,,owl:Class,,,,,,Process,,,,,,,,,,,
4,http://purl.org/pan-science/PaNET/PaNET00004,defined by functional dependence,,,A technique defined by its functional dependence,,owl:Class,,,,,,,Functional Dependence,,,,,,,,,,
5,http://purl.org/pan-science/PaNET/PaNET00005,defined by purpose,,,A technique defined by its goal or purpose,,owl:Class,,,,,,,,Purpose,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
100,http://purl.org/pan-science/PaNET/PaNET00100,photon technique,,,,,owl:Class,,,,,photon,,,,,,,,,,,,
101,http://purl.org/pan-science/PaNET/PaNET00101,neutron technique,,,,,owl:Class,,,,,neutron,,,,,,,,,,,,
102,http://purl.org/pan-science/PaNET/PaNET00102,muon technique,,,,,owl:Class,,,,,muon,,,,,,,,,,,,
103,http://purl.org/pan-science/PaNET/PaNET00103,solid probe technique,,,,,owl:Class,,,,,solid probe,,,,,,,,,,,,
104,http://purl.org/pan-science/PaNET/PaNET00104,scanning probe technique,,,,,owl:Class,,,,,scanning probe,,,,,,,,,,,,
105,http://purl.org/pan-science/PaNET/PaNET00105,pulsed probe technique,,,A technique for which a pulsed probe is essential,,owl:Class,,,,,pulsed probe,,,,,,,,,,,,
106,http://purl.org/pan-science/PaNET/PaNET00106,microfocussed probe technique,,,,,owl:Class,,,,,microfocussed probe,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
200,http://purl.org/pan-science/PaNET/PaNET00200,scattering technique,,,Any phenomenon where a particle of the same type as the probe is emitted,,owl:Class,,,,,,scattering,,,,,,,,,,,
201,http://purl.org/pan-science/PaNET/PaNET00201,emission technique,,,Independent of probe; classed also as scattering if the probe and emitted particles are of the same type; disjoint with elastic scattering,,owl:Class,,,,,,emission,,,,,,,,,,,
202,http://purl.org/pan-science/PaNET/PaNET00202,absorption technique,,,,,owl:Class,,,,,,absorption,,,,,,,,,,,
203,http://purl.org/pan-science/PaNET/PaNET00203,propagation technique,forward scattering technique,,,,owl:Class,,,,,,propagation,,,,,,,,,,,
204,http://purl.org/pan-science/PaNET/PaNET00204,refraction technique,,,,https://en.wikipedia.org/wiki/Refraction,owl:Class,,,,,,refraction,,,,,,,,,,,
205,http://purl.org/pan-science/PaNET/PaNET00205,reflection technique,,,,https://en.wikipedia.org/wiki/Reflection_(physics),owl:Class,,,,,,reflection,,,,,,,,,,,
206,http://purl.org/pan-science/PaNET/PaNET00206,resonance phenomenon technique,,,,,owl:Class,,,,,,resonance phenomenon,,,,,,,,,,,
208,http://purl.org/pan-science/PaNET/PaNET00208,dispersive technique,,,,,owl:Class,,,,,,dispersion,,,,,,,,,,,
209,http://purl.org/pan-science/PaNET/PaNET00209,interferometry technique,,,,,owl:Class,,,,,,interferometry,,,,,,,,,,,
210,http://purl.org/pan-science/PaNET/PaNET00210,force measurement technique,,,,,owl:Class,,,,,,force measurement,,,,,,,,,,,
211,http://purl.org/pan-science/PaNET/PaNET00211,nonlinear technique,,,,,owl:Class,,,,,,nonlinear interaction,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
300,http://purl.org/pan-science/PaNET/PaNET00300,versus energy technique,,,,,owl:Class,,,,,,,energy,,,,,,,,,,
301,http://purl.org/pan-science/PaNET/PaNET00301,versus momentum transfer technique,,,,,owl:Class,,,,,,,momentum transfer,,,,,,,,,,
302,http://purl.org/pan-science/PaNET/PaNET00302,versus polarization technique,,,,,owl:Class,,,,,,,polarization,,,,,,,,,,
303,http://purl.org/pan-science/PaNET/PaNET00303,versus position technique,,,,,owl:Class,,,,,,,position,,,,,,,,,,
304,http://purl.org/pan-science/PaNET/PaNET00304,versus time technique,,,,,owl:Class,,,,,,,time,,,,,,,,,,
305,http://purl.org/pan-science/PaNET/PaNET00305,versus emission mass technique,,,,,owl:Class,,,,,,,emission mass,,,,,,,,,,
306,http://purl.org/pan-science/PaNET/PaNET00306,versus sample state technique,,,,,owl:Class,,,,,,,sample state,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
400,http://purl.org/pan-science/PaNET/PaNET00400,atomic structure technique,,,,,owl:Class,,,,,,,,obtain atomic structure,,,,,,,,,
401,http://purl.org/pan-science/PaNET/PaNET00401,spatial map technique,,,,,owl:Class,,,,,,,,obtain spatial map,,,,,,,,,
402,http://purl.org/pan-science/PaNET/PaNET00402,electronic ground state properties technique,,,,,owl:Class,,,,,,,,obtain electronic ground state properties,,,,,,,,,
403,http://purl.org/pan-science/PaNET/PaNET00403,dynamics technique,,,,,owl:Class,,,,,,,,obtain dynamics,,,,,,,,,
404,http://purl.org/pan-science/PaNET/PaNET00404,therapeutic technique,,,,,owl:Class,,,,,,,,therapy,,,,,,,,,
405,http://purl.org/pan-science/PaNET/PaNET00405,drug fragment binding technique,,,,,owl:Class,,,,,,,,drug fragment binding,,,,,,,,,
406,http://purl.org/pan-science/PaNET/PaNET00406,internal field technique,,,,,owl:Class,,,,,,,,obtain internal field,,,,,,,,,
407,http://purl.org/pan-science/PaNET/PaNET00407,excitations technique,,,,,owl:Class,,,,,,,,characterize excitations,,,,,,,,,
408,http://purl.org/pan-science/PaNET/PaNET00408,manufacturing technique,,,,,owl:Class,,,,,,,,manufacturing,,,,,,,,,
409,http://purl.org/pan-science/PaNET/PaNET00409,testing technique,,,,,owl:Class,,,,,,,,testing,,,,,,,,,
410,http://purl.org/pan-science/PaNET/PaNET00410,medical technique,,,,,owl:Class,,,,,,,,medical application,,,,,,,,,
411,http://purl.org/pan-science/PaNET/PaNET00411,chiral determination technique,,,,,owl:Class,,,,,,,,chiral determination,,,,,,,,,
207,http://purl.org/pan-science/PaNET/PaNET00207,magnetism technique,,,,,owl:Class,,,,,,,,magnetism study,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1000,http://purl.org/pan-science/PaNET/PaNET01000,time of flight technique,TOF,,,,owl:Class,(definedByProbe some 'pulsed probe'),,,,,,,,,,,,,,,,
1001,http://purl.org/pan-science/PaNET/PaNET01001,neutron time of flight technique,,,,,owl:Class,,,,,neutron,,,,time of flight technique,,,,,,,,
1002,http://purl.org/pan-science/PaNET/PaNET01002,ultrafast probe technique,femtosecond probe,,,,owl:Class,,,,,ultrafast probe,,,,,,,,,,,,
1003,http://purl.org/pan-science/PaNET/PaNET01003,single shot technique,,,,,owl:Class,(definedByProbe some 'pulsed probe'),,,,,,,,,,,,,,,,
1004,http://purl.org/pan-science/PaNET/PaNET01004,nanofocussed probe technique,,,,,owl:Class,,,,,nanofocussed probe,,,,,,,,,,,,
